companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url,compensation_and_benefits,culture_and_values,career_opportunities,work_life_balance,job_type,industry,job_function,company_size,estimated_salary
Rappi,3.7,Data Scientist | Restaurantes (FULLY REMOTE),Bogota,"YOUR NEXT STEP IS AT RAPPI!
Rappi is one of the first Latin American unicorns and a start-up that continues to focus on growing and making life easier for our users. As a company, we seek to continue improving the services we already offer, add more to our offer and continue expanding throughout the Latin American continent.
The Team
Our expectations are pretty high for Data Scientist positions. The Data Science team plays a leading role in solving our most challenging problems and guiding the decisions that we take around product, growth and operations. Information is only valuable when transformed into actionable insights, and it is through experimentation, high-tempo testing, rigorous measurement, and correct communication, that our teams achieve our audacious goal to establish Rappi as the super-app in LatAm.
Your Impact, You will

Build, implement, and maintain machine learning systems in technology products. Lead engineering best practices for scaling ML and designing/building software that is reliable, scalable, and secure
Be responsible for the implementation, testing, and release of a range of models, both for existing and “to-be-invented” use cases
Work closely with Machine Learning scientists to design, code, train, test, deploy, iterate and own state-of-the-art systems for executing ML models
Building end-to-end data pipelines to train, maintain, and track performance of our Machine Learning and Operations Research products
He leído y acepto la Autorización de Datos Personales de Rappi S.A.S
https://docs.google.com/document/d/e/2PACX-1vRFEkFojVd3AfFsARRsdZpiSjA_xQGK5Y7ZCBT3gw19MOdQVqH5nRAuSqyu3yZq2A/pub
Conforme a la Política de Tratamiento de Datos Personales
https://legal.rappi.com/colombia/politica-de-proteccion-y-tratamiento-de-datos-personales-rappi-s-a-s/
-
I have read and accept the Authorization of Personal Data from Rappi S.A.S
https://docs.google.com/document/d/e/2PACX-1vRFEkFojVd3AfFsARRsdZpiSjA_xQGK5Y7ZCBT3gw19MOdQVqH5nRAuSqyu3yZq2A/pub
In accordance with the Personal Data Treatment Policy
https://legal.rappi.com/colombia/autorizacion-de-tratamiento-de-datos-personales-rappitenderos-rappi-s-a-s/Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_575840a1&cb=1629251918449&jobListingId=1007206624651&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-3141386dc4f5f9e7,3.5,3.3,3.7,2.8,Full-time,Information Technology,other,1001 to 5000 Employees,NaN
NielsenIQ,3.9,Sr Data Scientist,Bogota,"
Guarantee that the statistics design of Nielsen are executed on time and with the expected quality 
Ensure the integrity of the used data for the analysis 
Provide technical assistance for internal clients related to statistics designs 
Use statistic methodologies for data analysis 
Innovate considering the statistical designs and market needs 
Collaborate in the analysis and interpretation of the information of the services that NielsenIQ provides to the Client. 
Review the databases sent by production, either to reject or approve the release of the same for subsequent shipment to the Customer. 
Track Client Service Requests. 
Advise clients on market research issues to facilitate decision making 
Degree in Mathematics, Economics, Statistics or similar 
At least 2 to 3 years of experience working with R or Python. SQL knowledge is desirable 
Data Science and Machine Learning knowledge 
Strong capability on data analysis and statistical data 
Communication skills 
Detail oriented 
Fluent in English",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e5e33c99&cb=1629251918452&jobListingId=1007221004897&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-552aa370602460f3,3.0,4.1,3.6,3.6,Full-time,NaN,other,10000+ Employees,NaN
FNA,2.8,Data Scientist - Remote,Trabajo desde casa,"
Actively participate as a contributing member on a team of data scientists through the whole workflow from data access, processing and modeling, to data visualization 
Partner with internal FNA stakeholders and client subject matter experts to refine analyses, gain insights and present new findings 
Develop and present client specific solutions clearly and concisely, communicate analyses, recommendations, status and results to existing clients and prospects at business management and executive level 
Operationalize models into production with the FNA Platform 
Carry out research and development of new use-cases, algorithms and solutions - either as part of our product road-map or based on specific client requirements 
Act as product owner for specific features or models implemented in the FNA Platform 
Resolve client support requests in a professional and timely manner. 
Own and deliver meaningful work with a global impact 
Rapidly advance your career in a high growth tech company 
Collaborate with an international team of innovative and high-achieving colleagues 
Annual stipend for personal and professional growth 
Flexible, remote working since 2014 
International team off-sites in sunny locations 2x/yr (when travel permits). 
The right candidates will have at minimum 2+ years experience as a Data Scientist in commercial or academic projects applying Network Science & Machine Learning models and presenting your results to stakeholders 
You should be a team player who picks up implicit tasks, is self-organized and self-motivated, embraces autonomy and working remotely but enjoys the occasional travel to interface with clients for implementations, training and use case exploration 
The right candidate is naturally inquisitive with the ability to communicate technical findings to non-technical personnel and isn’t afraid to present creative, data-driven ideas to stakeholders 
Passion and curiosity for what is happening within RegTech/FinTech/SupTech, Cybersecurity and Cyber Threat Intelligence, Graph Databases and especially Graph Theory/Network Science 
Efficiently balances accuracy and speed while getting things done 
You're a team player with tenacity underpinned by self-awareness and empathy 
Fluent written and spoken English. Additional languages are a benefit 
Ability to travel approximately 25% of the time (Domestic and International). 
BA, MS or PhD level qualification in mathematics, economics, finance, statistics, physics, engineering or related applied quantitative field 
Agent Based Modeling 
Experience in a financial market infrastructure 
Bi-lingual business-level language capability.",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_29c059c2&cb=1629251918453&jobListingId=1007029781746&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-1a0ff2039742012b,2.4,2.9,2.8,2.9,Full-time,Manufacturing,other,51 to 200 Employees,NaN
McKinsey & Company,4.4,Specialist - Process Control,Bogota,"Bachelor's degree required. Excellent academic qualifications in Instrumentation/ Automation/applied to Mineral Processing Engineering or related field; MSc preferred 
7+ years of work experience in process control, ideally in metals and mining, although other heavy industries (Paper, Chemicals, etc) will be considered 
Experience and knowledge of industrial control hardware and software, database applications, optimization systems and computer control networks, as well as familiarity with different integrated control system, DCS/PLC in an heavy environment 
Experience with closed loop process control system design using P&IDs, control narratives, etc. 
Experience in designing control strategies, implementing in the control systems, and fine-tuning the control loops 
Experience with system identification and modelling of linear and nonlinear systems 
Experience with different advanced process control techniques (e.g., model based predictive control techniques, expert systems, neural networks) 
Excellent written and oral communication skills 
Superior problem-solving and analytical skills with proficiency in business software (e.g., Excel, PowerPoint) 
Programming experience will be an added advantage 
Passion for analytics and interest in developing new approaches to data analysis and application to operational improvement 
Skills to communicate complex ideas effectively, both verbally and written, in English and Spanish 
Willing to work in a highly demanding and result-oriented team environment with travel 60%-80% to remote industrial locations 
Ability to be stand-alone in senior client settings and present complex value propositions to client executives",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_8bf3983d&cb=1629251918455&jobListingId=1006807164520&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-e1e109ac0ad9ec21,4.4,4.3,4.5,2.9,N/A,Business Services,other,10000+ Employees,NaN
Bold.co SAS,NaN,Data Scientist,Trabajo desde casa,"
Android 
iOS 
Realizar extracción, transformación y análisis de las fuentes de información disponibles que permitan dar respuesta a preguntas de negocio, de manera oportuna y precisa. 
Apoyar a las áreas de negocio de la compañía en el desarrollo de nuevos casos de uso. 
 Proponer nuevos productos y/o artefactos analíticos que permitan satisfacer necesidades de datos de diferentes actores dentro de la compañía. 
Mantenerse a la vanguardia en los últimos desarrollos en el mundo de la ciencia de datos, el Machine Learning y el BigData para aplicarlos dentro de la compañía. 
 Desarrollar modelos de Machine Learning (fraude, retención, segmentación, etc), para ser desplegados en infraestructura cloud en un entorno CI/CD. 
Apoyar al equipo de data y analítica en el diseño, planeación y puesta en marcha de proyectos de Machine Learning, BigData y ciencia de datos que así lo requieran. 
Medicina prepagada 
Acciones de la compañía (acciones directas con esquema de Vesting) 
Contrato a término indefinido 
Salario competitivo 
Trabajo remoto de tiempo completo 
Lenguajes de programación: Python (Pandas, Numpy , Matplotlib, Scikitlearn), R (recomendable). 
Bases de datos: SQL general (indispensable), PostgreSQL (Recomendable), Spark (Recomendable). 
Programación: estructuras de datos, complejidad, algoritmos y POO. 
Estadística: descriptiva, inferencial, multivariante, Bayes, series de tiempo y experimentos. 
Cloud: Deseable conocimiento medio en alguna de las plataformas cloud líderes del mercado(Azure, AWS, GCP), enfocadas a ML y Analítica (ejemplo: sage maker, databricks, Azure ML, QuickSight o Power BI) 
Machine Learning: Aprendizaje supervisado y no supervisado(Indispensable), Deep Learning (Recomendable). 
Experiencia de 2-3 años trabajando en el ámbito de BI, Machine Learning y explotación de datos. 
Experiencia en el uso de la ciencia de datos y BigData para resolver preguntas de negocio y ofrecer productos basados en datos. 
Deseable tener experiencia o conocimiento de entornos de trabajo ágiles (SCRUM), capaz de gestionar el alcance e iterar rápidamente para ofrecer valor al cliente final.",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4ca317bf&cb=1629251918450&jobListingId=1007124296356&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-8f2300e5ac9f192a,NaN,NaN,NaN,NaN,Full-time,NaN,other,NaN,NaN
Rappi,3.7,Data Scientist - Fulfillment (100% Remote),Bogota,"YOUR NEXT STEP IS AT RAPPI!
Rappi is one of the first Latin American unicorns and a start-up that continues to focus on growing and making life easier for our users. As a company, we seek to continue improving the services we already offer, add more to our offer and continue expanding throughout the Latin American continent.
The Team
Our expectations are pretty high for data scientist positions. The Data Science team plays a leading role in solving our most challenging problems and guiding the decisions that we take around product, growth and operations. Information is only valuable when transformed into actionable insights, and it is through experimentation, high-tempo testing, rigorous measurement, and correct communication, that our teams achieve our audacious goal to establish Rappi as the super-app in LatAm.
Your Impact, You will

Work with a team of high-performing analytics, data science professionals, and cross-functional teams to identify business opportunities, optimize product performance or go to market strategy
Analyzing large data sets to develop multiple custom models and algorithms to drive innovative business solutionsDesign and analyze experiments to test new product ideas or go to market strategies. Convert the results into actionable recommendations.
Improve our statistical methodology behind our experiments, to ensure that our understanding of product changes is rigorous and accurate
Closely collaborate and partner with senior leaders across multiple teams and disciplines to define problem statements, collect data, build analytical models and make recommendations
Collaborate with researchers, software developers, and business leaders to define product requirements and provide analytical support
Use Statistical/Machine Learning techniques to understand and make predictions about complex systems. Draw on methods and tooling from probability, statistics, mathematics, and computer science. Communicate results through visualizations, and data products
Talents You Bring To The Team
Deep knowledge of machine learning algorithms, statistics, and/or experiment designYou are *highly proficient* in SQL (other querying language is a plus)
Advanced computer literacy. Hands-on experience in Python or R.
You possess keen analytical skills, with the ability to turn complex, disparate datasets into insights that drive strategies and solutions
You are comfortable with ambiguity and organizational complexity
You embody our core values, ambition for a greater good, beauty in everything we do, fast execution and prioritization, and are eager to take risks and deliver magic
He leído y acepto la Autorización de Datos Personales de Rappi S.A.S
https://docs.google.com/document/d/e/2PACX-1vRFEkFojVd3AfFsARRsdZpiSjA_xQGK5Y7ZCBT3gw19MOdQVqH5nRAuSqyu3yZq2A/pub
Conforme a la Política de Tratamiento de Datos Personales
https://legal.rappi.com/colombia/politica-de-proteccion-y-tratamiento-de-datos-personales-rappi-s-a-s/
-
I have read and accept the Authorization of Personal Data from Rappi S.A.S
https://docs.google.com/document/d/e/2PACX-1vRFEkFojVd3AfFsARRsdZpiSjA_xQGK5Y7ZCBT3gw19MOdQVqH5nRAuSqyu3yZq2A/pub
In accordance with the Personal Data Treatment Policy
https://legal.rappi.com/colombia/autorizacion-de-tratamiento-de-datos-personales-rappitenderos-rappi-s-a-s/Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_b075864a&cb=1629251918452&jobListingId=1007208897540&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-511e0a33395d5f79,3.5,3.3,3.7,2.8,Full-time,Information Technology,other,1001 to 5000 Employees,NaN
Rappi,3.7,Data scientist,Bogota,"
Un Data Scientist Senior estará a cargo de liderar proyectos que nos ayuden a enriquecer, explotar y mantener datos de alta calidad, manteniendo contacto directo y constante con los stakeholders, logrando así que el output del proyecto sea el deseado. Tendrá además la responsabilidad de hacer seguimiento y garantizar la calidad de procesos automatizados existentes y nuevos, haciendo uso de su expertise en el análisis, modelamiento y visualización de datos.
 
Liderar proyectos de data E2E. 
Hacer seguimiento de automatizaciones puestas en producción.
 Generar mejoras constantes en los procesos ya existentes. 
Proponer y diseñar experimentos adicionales. 
Desarrollo de proyectos de data de calidad y eficientes.
 Análisis de datos que nos ayuden a identificar oportunidades. 
Propuestas de nuevos experimentos que nos ayuden a mejorar nuestras oportunidades.
 Mejora continua de procesos automatizados en producción. 
Cualidades de liderazgo. 
Experiencia en proyectos de data, análisis, modelado y presentación de resultados finales. 
Manejo de clientes externos e internos. 
Conocimientos estadísticos y/o modelado de datos (ML) - medio/avanzado. 
Python - medio/avanzado. 
SQL - medio/avanzado.
 
Power BI - Básico/medio.",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c9ff43d&cb=1629251918448&jobListingId=1007219942674&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-3825622cbb36d656,3.5,3.3,3.7,2.8,Full-time,Information Technology,other,1001 to 5000 Employees,NaN
McKinsey & Company,4.4,Data Engineer - QuantumBlack,Bogota,"Bachelor's degree in computer science with mathematics and statistics or equivalent subject; master's degree preferred 
Experienced on Big Data platform like Hadoop, hbase, CouchDB, hive, Pig etc Also TeraData, Oracle, MySQL, Informatica, Tableu, QlikView or similar reporting and BI packages 
Used SQL, PL/SQL and similar languages, UNIX shell scripting 
Experienced with data modeling, design patterns, building highly scalable and secured solutions 
Knowledge of agile software development process and familiarity with performance metric tools 
Knowledge of web application development technologies such as Ruby on Rails, Java, UNIX, HTML, CSS, Perl, or PHP a plus 
Strong analytical and problem-solving skills paired with the ability to develop creative and efficient solutions; tolerance in dealing with bad quality data 
Proficiency in statistical data analysis and data mining packages SAS, SPSS, MatLab, R, STATA, Excel, etc. 
Ability to work under pressure with a solid sense for setting priorities 
Excellent interpersonal, leadership and communication skills 
Strong command of English language (both verbal and written)
 
Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches 
Acquire, ingest, and process data from multiple sources and systems into Big Data platforms 
Understanding, assessing and mapping the data landscape. 
Maintaining our Information Security standards on the engagement. 
Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models. 
Defining the technology stack to be provisioned by our infrastructure team. 
Building modular pipeline to construct features and modelling tables. 
Use new and creative techniques to deliver impact for our clients as well as internal R&D projects. 
How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end pipelines. 
Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations. 
Be focused on the wrangling, clean-up and transformation of data by working alongside the Data Science team which focuses on modelling the data. 
Using new technologies and problem-solving skills in a multicultural and creative environment. 
Real-World Impact – No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally. 
Fusing Tech & Leadership – We work with the latest technologies and methodologies and offer first class learning programmes at all levels. 
Multidisciplinary Teamwork - Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance. 
Innovative Work Culture – Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions. 
Striving for Diversity – With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e4111ee8&cb=1629251918454&jobListingId=1007164685790&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-3e9e53407a12ceb3,4.4,4.3,4.5,2.9,N/A,Business Services,other,10000+ Employees,NaN
Panagora Group,2.7,Human Rights and Transitional Justice Consultant,Bogota,"What are the roles, responsibilities and main outcomes of key government actors, policies and initiatives at the national level focused on human rights defenders, to include working groups, roundtables, committees, observatories, units created by the Peace Agreement (National Police Elite Corps, the Attorney General's Office’s Special Investigative Unit for the Dismantling of Criminal Organizations and Conduct (Decree 898/2017), the High Level Body led by the Ministry of the Interior, the National Commission for Security Guarantees (Decree Law 154/2017))?

 What are the political opportunities and obstacles for government action at the national and local levels to address the issue, including the views of human rights defenders, and the incentives and disincentives for change?

 How can USAID's strategy for human rights defenders and programming for violence prevention against them be strengthened, especially in the current context?

 Conduct an analysis to determine the opportunities and political obstacles for national and local government action (prioritizing Antioquia, Norte de Santander and Cauca) to protect the lives of human rights defenders, including the views of defenders, institutional obstacles, among other factors.

 Co-design with the study team the study methodological strategy, analysis plan, and semi-structured interview guide.

 Conduct a review of secondary sources of official documents and non-governmental organizations to answer the assigned research question.

 Develop an interview plan, together with the team, that includes at least informants from key government institutions, the international community, civil society, and the private sector, both at the national and local levels.

 Develop the report that synthesizes the findings, conclusions, and recommendations in accordance with the methodological design approved by USAID.

 Make the partial and final presentations of the study.

 Make the adjustments in the final documents that the USAID MEL Activity requests

 Note: Panagora does not offer visa sponsorship at this time.
 ¿Cuáles son los roles, responsabilidades y principales resultados de los actores clave del gobierno, políticas e iniciativas a nivel nacional enfocadas en defensores de derechos humanos, para incluir grupos de trabajo, mesas redondas, comités, observatorios, unidades creadas por el Acuerdo de Paz (Policía Nacional Elite Cuerpo, Unidad Especial de Investigación para el Desmantelamiento de Organizaciones y Conducta Delictivas de la Fiscalía General de la Nación (Decreto 898/2017), Órgano de Alto Nivel que dirige el Ministerio del Interior, Comisión Nacional de Garantías de Seguridad (Decreto Ley 154/2017)) ?

 ¿Cuáles son las oportunidades políticas y los obstáculos para la acción del gobierno a nivel nacional y local para abordar el problema, incluidas las opiniones de los defensores de los derechos humanos y los incentivos y desincentivos para el cambio?

 ¿Cómo se puede fortalecer la estrategia de USAID para los defensores de derechos humanos y la programación para la prevención de la violencia contra ellos, especialmente en el contexto actual?

 Conducir un análisis que determine las oportunidades y los obstáculos políticos para la acción del gobierno nacional y local (priorizando Antioquia, Norte de Santander y Cauca) para proteger la vida de los defensores de los derechos humanos, incluidos los puntos de vista de los defensores, los obstáculos institucionales, entre otros factores.

 Co-diseñar con el equipo del estudio la estrategia metodológica, plan de análisis y la guía de entrevistas semiestructuradas del estudio.

 Realizar una revisión de fuentes secundarias de documentos oficiales y de organizaciones no gubernamentales para responder a la pregunta de investigación asignada.

 Desarrollar un plan de entrevistas, en conjunto con el equipo, que incluya como mínimo a informantes de instituciones clave del gobierno, la comunidad internacional la sociedad civil y el sector privado, tanto a nivel nacional como local.

 Desarrollar el reporte que sintetice los hallazgos, conclusiones y recomendaciones de acuerdo con el diseño metodológico aprobado por USAID.

 Realizar las presentaciones parcial y final del estudio.

 Realizar los ajustes en los documentos finales que sean solicitados por la Actividad MEL de USAID.

 Nota: Panagora no ofrece patrocinio de visa en este momento.
 Lawyer or political scientist with postgraduate studies in international law or social sciences (preferably doctorate).

 Knowledge of the Colombian context in which the Peace Accords and other transitional public norms and policies are implemented, particularly those that are related to the security situation of human rights defenders.

 Analytical capacity for the construction of strategies to reduce impunity and analysis of political economy applied to the context of human rights.

 Experience in research and publications around human rights and transitional justice and in-depth knowledge of the measures included in the Peace Agreement for the protection of social leaders.

 High responsibility work experience with institutions of the Colombian State in the field of human rights, justice, and the implementation of the Peace Accords.

 Verifiable consulting, evaluation, or research experience for the United States Agency for International Development.

 Specific experience in qualitative research processes.

 Fluency in English and Spanish languages.

 Minimum 10 years of general experience.

 Abogado/a o politólogo/a con estudios de posgrado en derecho internacional o ciencias sociales (preferiblemente doctorado).

 Conocimiento del contexto colombiano en el que se implementan los Acuerdos de Paz y demás normas y políticas públicas transicionales, en particular aquellas que están relacionadas con la situación de seguridad de defensores y defensoras de derechos humanos.

 Capacidad analítica para la construcción de estrategias de reducción de la impunidad y análisis de economía política aplicada al contexto de derechos humanos.

 Experiencia en investigación y publicaciones en el área de derechos humanos y justicia transicional y profundo conocimiento de las medidas incluidas en el Acuerdo de Paz para la protección de líderes y lideresas sociales.

 Experiencia de trabajo de alta responsabilidad con instituciones del Estado Colombiano en el campo de los derechos humanos, la justicia y la implementación de los Acuerdos de Paz.

 Experiencia comprobable en consultoría, evaluaciones o investigaciones para la Agencia de Desarrollo Internacional de los Estados Unidos.

 Experiencia específica en procesos de investigación cualitativa.

 Fluidez en los idiomas inglés y español.

 Mínimo 10 años de experiencia general.",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_6eab672b&cb=1629251918455&jobListingId=1007098462293&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-5f8cde05c05c6316,2.3,2.5,2.3,2.2,N/A,Business Services,other,51 to 200 Employees,NaN
IBM,4.0,Data Scientist: Vendor Conversion,Bogota,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Vendor Conversion

Required Technical and Professional Expertise
Vendor Conversion

Preferred Technical and Professional Expertise
Vendor Conversion
About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_3728a12a&cb=1629251918451&jobListingId=1007226020446&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-8dd79045c28bfe4b,3.4,4.0,3.8,4.0,Full-time,Information Technology,other,10000+ Employees,NaN
Besedo,3.7,Customer Success Implementation Officer (B2+ English),Bogota,"Successful implementations of new services and product, both from operational and client satisfaction side. Achieve and maintain excellent relationships with internal clients. Delivering on time high quality data analysis reports. Plan, document and lead implementations of services, solutions and product. Set and document scope, timelines, milestones and risks for each implementation and continuously adapt/maintain them during project lifecycle. Development and delivery on time of high-quality data analysis reports. Effectively communicate and coordinate with all stakeholders and ensure decisions, changes, tasks and meeting notes with them are actively documented and kept up to date. Provide and escalate feedback on issues and challenges faced in a timely manner. As part of implementation cycle, ensure client satisfaction through regular follow-up, client responsiveness and communication. Drive and document regular retrospective leading to improvements after every milestone during and after the implementation process. Tech savvy and proficient with the Microsoft Suite (Excel, Word, PowerPoint, Outlook). Build, maintain and upgrade data dashboard systems. Demonstrated project management skills, i.e., through leading technology projects and implementations. Exceptional ability to organize and identify resources required to implement identified projects. Team player with demonstrated ability to work with all levels of the organization (operations, product development, sales, marketing). Able to learn quickly and take decisions through an analytical approach. Solution oriented with a “can do” attitude. Takes initiative to produce improvements both internally and with clients. Able to prioritize work and respond quickly to changes and new projects in a fast-paced setting. Bachelor on Systems Engineer, Industrial or related. Live in Colombia. (Must) Excellent command of English (B2+) any other language will be considered an asset. (Must) Proof experience in data analysis and project management. Experience and knowledge in coding, such as JSON. Management of tools for data building and processing as: JIRA, Grafana, Postman, GitLab, or cURL will be considered an asset. Exemplary written and verbal communication skills. Flexible working schedules and the possibility to work from home. Private medical insurance. Monthly groceries card to use in any supermarket or restaurant. 5 additional days for annual leave besides the legal entitlement, including one day off on your birthday. Extended parental leave and sabbatical leave once you have met the tenure criteria. An opportunity to make a positive impact on the digital world, working with an international team. A stimulating and rewarding job in an international, innovative and fast-moving technology company. Fun events, excellent colleagues and a cool and pleasant workplace.",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_b86eb607&cb=1629251918454&jobListingId=1007099224923&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-67687bf582835efb,3.0,3.7,3.5,3.9,N/A,Information Technology,other,201 to 500 Employees,NaN
Rappi,3.7,Data Scientist | ADS,Bogota,"Create ML models to improve personalization and relevance of the information the users see in the app. 
Design methodologies to find improvement opportunities and insights. (A/B testing) 
Generate optimization algorithms for every project the team addresses.
 Achieve comprehensive analysis of Rappi DB. 
Dig in and develop methodologies to find insights and opportunities. 
ML models for app personalization. 
Optimization algorithms. 
Generate dashboards and visual tools for the Project Manager. 
Establish follow up and results measurements procedures. 
Minimum 3 years experience. 
Excellency in SQL & proficiency in NoSQL. 
Python, panda and /or Jupiter notebook. 
Passion fast-paced startup culture. 
Business Orientated Approach. 
Excellent communication, interpersonal, consulting and people management skills. 
Self driven and goal oriented with the ability to multitask, back by a high level of accountability and follow through to closure. 
English Level: B22. 
Degree: Bachelor",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e87422fb&cb=1629251918451&jobListingId=1007191910673&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-6fafec885d8020ac,3.5,3.3,3.7,2.8,Full-time,Information Technology,other,1001 to 5000 Employees,NaN
,NaN,Data Scientist Jr (Python / Spark),Meta,"Meta, Meta, Colombia



BBVA USA has become a wholly-owned subsidiary of The PNC Financial Services Group, Inc. Learn more .
BBVA USA has become a wholly-owned subsidiary of The PNC Financial Services Group, Inc. Learn more .

Detalles de la empresa
Nombre de la Empresa
Bbva Renting SA
Detalles del Trabajo
Ubicación del Trabajo
Ciudad/Pueblo
Meta
Estado
Meta
País
ColombiaShow more ",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000017b56fb58d9b1313414b358faa5&src=GD_JOB_AD&t=SR&vt=w&cs=1_5f90e6fe&cb=1629251918449&jobListingId=1007242196513&jrtk=2-0-1fdbfmm9mu5ei801-1fdbfmmaan561800-72e63dbb293f190c,NaN,NaN,NaN,NaN,N/A,NaN,other,NaN,NaN
